Protein,Label
P08571,Negative
P08572,Negative
P08574,Negative
P08575,Negative
P08581,Negative
P08582,Negative
P08590,Negative
P08603,Negative
P08637,Negative
P08670,Negative
P08697,Negative
P08709,Negative
P08754,Negative
P08758,Negative
P08779,Negative
P08887,Negative
P08949,Negative
P08962,Negative
P09012,Negative
P09104,Negative
P09172,Negative
P09211,Negative
P09326,Negative
P09382,Negative
P09417,Negative
P09429,Negative
P09455,Negative
P09486,Negative
P09493,Negative
P09529,Negative
P09543,Negative
P09603,Negative
P09619,Negative
P09622,Negative
P09651,Negative
P09871,Negative
P09874,Negative
P09936,Negative
P09958,Negative
P09960,Negative
P09972,Negative
P0C0L4,Negative
P0C0L5,Negative
P0C6S8,Negative
P0C7W0,Negative
P0CG47;P0CG48;P62979;P62987,Negative
P0DJI8,Negative
P0DMQ5,Negative
P0DMV8;P0DMV9,Negative
P0DOY2;P0DOY3,Negative
P0DP01,Negative
P0DP02,Negative
P0DP08,Negative
P0DP23;P0DP24;P0DP25,Negative
P0DP58,Negative
P0DPH7;P0DPH8,Negative
P0DTE1,Negative
P0DTE7;P0DTE8;P0DUB6,Negative
P10114,Negative
P10124,Negative
P10145,Negative
P10153,Negative
P10155,Negative
P10242;P10243,Negative
P10253,Negative
P10321,Negative
P10412;P16402;P16403;P22492;Q02539,Negative
P10451,Negative
P10586,Negative
P10599,Negative
P10619,Negative
P10636,Negative
P10643,Negative
P10644,Negative
P10645,Negative
P10646,Negative
P10721,Negative
P10745,Negative
P10768,Negative
P10809,Negative
P10909,Negative
P10915,Negative
P10916,Negative
P11021,Negative
P11047,Negative
P11055,Negative
P11117,Negative
P11142,Negative
P11215,Negative
P11226,Negative
P11279,Negative
P11362,Negative
P11413,Negative
P11597,Negative
P11717,Negative
P11766,Negative
P11940,Negative
P12107,Negative
P12109,Negative
P12110,Negative
P12111,Negative
P12259,Negative
P12268,Negative
P12272,Negative
P12277,Negative
P12314,Negative
P12318,Negative
P12532,Negative
P12724,Negative
P12814,Negative
P12821,Negative
P12830,Negative
P12882,Negative
P12883,Negative
P12955,Negative
P12956,Negative
P13164;Q01628;Q01629,Negative
P13284,Negative
P13473,Negative
P13489,Negative
P13497,Negative
P13500,Negative
P13521,Negative
P13584,Negative
P13591,Negative
P13598,Negative
P13611,Negative
P13637,Negative
P13639,Negative
P13645,Negative
P13647,Negative
P13667,Negative
P13671,Negative
P13686,Negative
P13693,Negative
P13716,Negative
P13726,Negative
P13727,Negative
P13747,Negative
P13796,Negative
P13797,Negative
P13805,Negative
P13929,Negative
P13987,Negative
P14136,Negative
P14138,Negative
P14151,Negative
P14207,Negative
P14209,Negative
P14314,Negative
P14384,Negative
P14543,Negative
P14550,Negative
P14555,Negative
P14618,Negative
P14621,Negative
P14625,Negative
P14678;P63162,Negative
P14866,Negative
P14867;P34903;P47869,Negative
P14868,Negative
P14923,Negative
P15086,Negative
P15090,Negative
P15104,Negative
P15121,Negative
P15144,Negative
P15151,Negative
P15169,Negative
P15170;Q8IYD1,Negative
P15259,Negative
P15260,Negative
P15289,Negative
P15291,Negative
P15311,Negative
P15328,Negative
P15502,Negative
P15529,Negative
P15531,Negative
P15692,Negative
P15814,Negative
P15848,Negative
P15907,Negative
P16035,Negative
P16070,Negative
P16083,Negative
P16112,Negative
P16152,Negative
P16157,Negative
P16234,Negative
P16278,Negative
P16298;Q08209,Negative
P16442,Negative
P16519,Negative
P16860,Negative
P16870,Negative
P16930,Negative
P16949,Negative
P17050,Negative
P17174,Negative
P17181,Negative
P17302,Negative
P17405,Negative
P17600,Negative
P17655,Negative
P17677,Negative
P17693,Negative
P17813,Negative
P17844,Negative
P17900,Negative
P17931,Negative
P17936,Negative
P17980,Negative
P17987,Negative
P18065,Negative
P18206,Negative
P18428,Negative
P18509,Negative
P18669,Negative
P18850,Negative
P19021,Negative
P19022,Negative
P19113,Negative
P19256,Negative
P19320,Negative
P19367,Negative
P19623,Negative
P19652,Negative
P19784,Negative
P19823,Negative
P19827,Negative
P19835,Negative
P19961,Negative
P20062,Negative
P20138,Negative
P20155,Negative
P20333,Negative
P20338,Negative
P20339;P51148;P61020,Negative
P20340;Q9NRW1,Negative
P20366,Negative
P20396,Negative
P20472,Negative
P20618,Negative
P20700,Negative
P20742,Negative
P20774,Negative
P20810,Negative
P20827,Negative
P20851,Negative
P20908,Negative
P20916,Negative
P20930,Negative
P20933,Negative
P21246,Negative
P21266,Negative
P21291,Negative
P21333,Negative
P21579,Negative
P21583,Negative
P21589,Negative
P21709,Negative
P21741,Negative
P21796,Negative
P21802,Negative
P21810,Negative
P21860,Negative
P21926,Negative
P22004,Negative
P22061,Negative
P22087,Negative
P22105,Negative
P22303,Negative
P22304,Negative
P22314,Negative
P22352,Negative
P22392,Negative
P22607,Negative
P22626,Negative
P22676,Negative
P22692,Negative
P22695,Negative
P22732,Negative
P22748,Negative
P22792,Negative
P22891,Negative
P22897,Negative
P22914,Negative
P23083,Negative
P23142,Negative
P23229,Negative
P23246,Negative
P23284,Negative
P23297,Negative
P23327,Negative
P23435,Negative
P23467,Negative
P23468,Negative
P23470,Negative
P23471,Negative
P23515,Negative
P23526,Negative
P23528,Negative
P23560,Negative
P23582,Negative
P23588,Negative
P24043,Negative
P24387,Negative
P24534,Negative
P24539,Negative
P24588,Negative
P24592,Negative
P24593,Negative
P24821,Negative
P24844,Negative
P25189,Negative
P25311,Negative
P25325,Negative
P25391,Negative
P25445,Negative
P25705,Negative
P25713,Negative
P25786,Negative
P25788,Negative
P25789,Negative
P26012,Negative
P26038,Negative
P26358,Negative
P26367,Negative
P26368,Negative
P26373,Negative
P26447,Negative
P26572,Negative
P26583,Negative
P26640,Negative
P26885,Negative
P26927,Negative
P26992,Negative
P27105,Negative
P27169,Negative
P27361,Negative
P27487,Negative
P27708,Negative
P27797,Negative
P27824,Negative
P27918,Negative
P28066,Negative
P28072,Negative
P28074,Negative
P28161,Negative
P28340,Negative
P28482,Negative
P28799,Negative
P28827,Negative
P28908,Negative
P29120,Negative
P29122,Negative
P29218,Negative
P29279,Negative
P29323,Negative
P29401,Negative
P29474,Negative
P29622,Negative
P29762,Negative
P29966,Negative
P30041,Negative
P30043,Negative
P30044,Negative
P30046,Negative
P30047,Negative
P30048,Negative
P30050,Negative
P30085,Negative
P30086,Negative
P30101,Negative
P30530,Negative
P30531,Negative
P30533,Negative
P30566,Negative
P30613,Negative
P30626,Negative
P30740,Negative
P30990,Negative
P31146,Negative
P31150,Negative
P31153,Negative
P31321,Negative
P31431,Negative
P31689,Negative
P31937,Negative
P31939,Negative
P31946,Negative
P31948,Negative
P31949,Negative
P32004,Negative
P32119,Negative
P32780,Negative
P32942,Negative
P32971,Negative
P33151,Negative
P33176,Negative
P33316,Negative
P33552,Negative
P33908,Negative
P33991,Negative
P33993,Negative
P34059,Negative
P34096,Negative
P34741,Negative
P34932,Negative
P34949,Negative
P35052,Negative
P35080,Negative
P35219,Negative
P35237,Negative
P35241,Negative
P35247,Negative
P35318,Negative
P35442,Negative
P35443,Negative
P35475,Negative
P35520,Negative
P35527,Negative
P35542,Negative
P35555,Negative
P35579,Negative
P35580,Negative
P35590,Negative
P35606,Negative
P35609,Negative
P35611,Negative
P35613,Negative
P35625,Negative
P35749,Negative
P35754,Negative
P35858,Negative
P35908,Negative
P35968,Negative
P36222,Negative
P36269,Negative
P36404,Negative
P36542,Negative
P36578,Negative
P36871,Negative
P36873;P62136;P62140,Negative
P36896,Negative
P36955,Negative
P36957,Negative
P36969,Negative
P36980,Negative
P37173,Negative
P37802,Negative
P37837,Negative
P37840,Negative
P38117,Negative
P38159;Q96E39,Negative
P38571,Negative
P38606,Negative
P39059,Negative
P39060,Negative
P39656,Negative
P39687,Negative
P39748,Negative
P40121,Negative
P40123,Negative
P40189,Negative
P40227,Negative
P40925,Negative
P40926,Negative
P41159,Negative
P41217,Negative
P41222,Negative
P41250,Negative
P41252,Negative
P41271,Negative
P41586,Negative
P41594;Q13255,Negative
P41732,Negative
P42229;P51692,Negative
P42262,Negative
P42285,Negative
P42658,Negative
P42681,Negative
P42695,Negative
P42696,Negative
P42785,Negative
P42857,Negative
P42892,Negative
P43004,Negative
P43034,Negative
P43121,Negative
P43146,Negative
