Protein,Label
Q16143,Negative
Q16270,Negative
Q16288,Negative
Q16363,Negative
Q16394,Negative
Q16555,Negative
Q16568,Negative
Q16581,Negative
Q16610,Negative
Q16620,Negative
Q16627,Negative
Q16653,Negative
Q16658,Negative
Q16674,Negative
Q16769,Negative
Q16775,Negative
Q16799,Negative
Q16849,Negative
Q16853,Negative
Q16881,Negative
Q24JP5,Negative
Q2TAL6,Negative
Q2TBF2,Negative
Q2UY09,Negative
Q495W5,Negative
Q496J9,Negative
Q4G0I0,Negative
Q4G148,Negative
Q504Y0,Negative
Q504Y2,Negative
Q53EL9,Negative
Q53RT3,Negative
Q58EX2,Negative
Q5BIV9,Negative
Q5BLP8,Negative
Q5D862,Negative
Q5FVE4,Negative
Q5FWE3,Negative
Q5JRA6,Negative
Q5JS37,Negative
Q5JZY3,Negative
Q5KU26,Negative
Q5SGD2,Negative
Q5SRI9,Negative
Q5SZI1,Negative
Q5SZK8,Negative
Q5T013,Negative
Q5T848,Negative
Q5UCC4,Negative
Q5VSG8,Negative
Q5VU97,Negative
Q5VUB5,Negative
Q5VUY0,Negative
Q5VV43,Negative
Q5VWW1,Negative
Q63HQ2,Negative
Q641Q3,Negative
Q658N2,Negative
Q68BL7,Negative
Q68BL8,Negative
Q6E0U4,Negative
Q6EMK4,Negative
Q6GTX8,Negative
Q6IEE7,Negative
Q6IS24,Negative
Q6JBY9,Negative
Q6MZW2,Negative
Q6NUJ2,Negative
Q6NW40,Negative
Q6P179,Negative
Q6P4E1,Negative
Q6P9A2,Negative
Q6PCB0,Negative
Q6PUV4,Negative
Q6UVK1,Negative
Q6UVY6,Negative
Q6UW01,Negative
Q6UWH4,Negative
Q6UWR7,Negative
Q6UWY5,Negative
Q6UX71,Negative
Q6UX72,Negative
Q6UX73,Negative
Q6UXB8,Negative
Q6UXD5,Negative
Q6UXH1,Negative
Q6UXH9,Negative
Q6UXK2,Negative
Q6UXK5,Negative
Q6UY14,Negative
Q6YHK3,Negative
Q6ZMI3,Negative
Q6ZMP0,Negative
Q6ZRP7,Negative
Q6ZSJ9,Negative
Q6ZVL6,Negative
Q709C8,Negative
Q76KP1,Negative
Q7KZF4,Negative
Q7L0X0,Negative
Q7Z304,Negative
Q7Z3D4,Negative
Q7Z408,Negative
Q7Z553,Negative
Q7Z5A7,Negative
Q7Z5L0,Negative
Q7Z5L7,Negative
Q7Z6L0,Negative
Q7Z7G0,Negative
Q7Z7H5,Negative
Q7Z7M8,Negative
Q7Z7M9,Negative
Q86SF2,Negative
Q86SR1,Negative
Q86TY3,Negative
Q86UD1,Negative
Q86UN2,Negative
Q86UN3,Negative
Q86UW8,Negative
Q86UX2,Negative
Q86V85,Negative
Q86VB7,Negative
Q86VR8,Negative
Q86VZ4,Negative
Q86X29,Negative
Q86XA9,Negative
Q86Y38,Negative
Q86YD3,Negative
Q86YT9,Negative
Q8IUC8,Negative
Q8IUK5,Negative
Q8IUK8,Negative
Q8IUX7,Negative
Q8IV08,Negative
Q8IW52,Negative
Q8IWT1,Negative
Q8IWU5,Negative
Q8IWV2,Negative
Q8IWY4,Negative
Q8IYR6,Negative
Q8IYS5,Negative
Q8IZA0,Negative
Q8IZJ1,Negative
Q8IZJ3,Negative
Q8IZS8,Negative
Q8N0W4;Q8NFZ3,Negative
Q8N111,Negative
Q8N114,Negative
Q8N126,Negative
Q8N149,Negative
Q8N2G4,Negative
Q8N2Q7,Negative
Q8N2S1,Negative
Q8N3J6,Negative
Q8N3T1,Negative
Q8N3T6,Negative
Q8N423,Negative
Q8N428,Negative
Q8N436,Negative
Q8N474,Negative
Q8N475,Negative
Q8N608,Negative
Q8N6C5,Negative
Q8N8Z6,Negative
Q8N967,Negative
Q8N9I0,Negative
Q8NBI3,Negative
Q8NBI6,Negative
Q8NBJ4,Negative
Q8NBJ7,Negative
Q8NBP7,Negative
Q8NBS9,Negative
Q8NCC3,Negative
Q8NCL4,Negative
Q8NCW5,Negative
Q8NCX0,Negative
Q8NEP3,Negative
Q8NES3,Negative
Q8NFD5;Q9Y651,Negative
Q8NFH3,Negative
Q8NFP4,Negative
Q8NFT8,Negative
Q8NFY4,Negative
Q8NFZ4,Negative
Q8NHJ6,Negative
Q8NHP8,Negative
Q8NHQ9,Negative
Q8NI22,Negative
Q8TAB3,Negative
Q8TAG5,Negative
Q8TBP5,Negative
Q8TCZ2,Negative
Q8TDQ0,Negative
Q8TEA8,Negative
Q8TER0,Negative
Q8WUJ3,Negative
Q8WVN6,Negative
Q8WVQ1,Negative
Q8WWK9,Negative
Q8WWX9,Negative
Q8WX77,Negative
Q8WXD2,Negative
Q8WXH0,Negative
Q8WY21,Negative
Q8WYK1,Negative
Q8WZ42,Negative
Q8WZ75,Negative
Q8WZA1,Negative
Q92484,Negative
Q92485,Negative
Q92496,Negative
Q92520,Negative
Q92542,Negative
Q92673,Negative
Q92692,Negative
Q92729,Negative
Q92743,Negative
Q92752,Negative
Q92765,Negative
Q92782,Negative
Q92820,Negative
Q92823,Negative
Q92832,Negative
Q92854,Negative
Q92859,Negative
Q92876,Negative
Q92896,Negative
Q92911,Negative
Q92932,Negative
Q93063,Negative
Q969H8,Negative
Q969P0,Negative
Q969T9,Negative
Q969Z4,Negative
Q96A84,Negative
Q96AP7,Negative
Q96AQ6,Negative
Q96B86,Negative
Q96BZ4,Negative
Q96CG8,Negative
Q96CX2,Negative
Q96DD7,Negative
Q96EE4,Negative
Q96EU7,Negative
Q96FE5,Negative
